Mask_Name,Type,Size,Design,Pack,product_id,product_price
Hwipure, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask,,,1,103205,2.95
HIGUARD, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask,,,1,101774,2.95
SunJoy, Professional Protective Disposable Face Mask KN95,,,10,101955,8.86
Lozperi, Copper Mask, Adult, Black,1,103838,6.85
Zidian, Disposable Protective Mask,,,50,102734,15.35
La Hauteur, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask,,,1,100837,5.61
YJ Corporation, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, for Kids,,1,100840,3.93
Hwipure, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask,,,25,103204,50.19
Lozperi, Copper Mask, Adult, Gray,1,103840,6.85
Puritas, 10 Days Mask, Large,,3,103743,6.61
Dr. Puri, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask,,,20,102522,47.24
Lozperi, Copper Mask, Adult, Dot,1,103839,6.85
Kosette, PM 2.5 Replaceable Filter,,,24,104023,5.91
Kitsch, 100% Cotton Reusable Face Masks, Neutral,,3,101692,17.72
One Fine Day, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask,,,1,100839,4.49
Kitsch, 100% Cotton Reuseable Face Masks, Leopard,,3,100237,17.72
Lozperi, Copper Mask, Kids, Black,1,103841,6.85
Kosette, Nano Reusable Face Protection Mask, Medium,,1,99830,22.44
Kosette, Fashion Mask with Filter Pocket,,,3,104022,11.81
Kosette, Nano Reusable Face Protection Mask, Large,,1,99829,22.44
Lozperi, Copper Mask, Kids, Gray,1,103842,6.85
Now Foods, Face Mask,S_M,Grey,1,102455,2.95
Kitsch, 100% Cotton Reuseable Face Masks, Blush,,3,101691,17.72
Tony Moly, CTT KN95 Respirator Mask,,,5,100541,26.57
Luseta Beauty, Disposable Protection Face Mask,,,50,100099,49.61
Luseta Beauty, Disposable Protection Face Mask,,,50,100234,44.31
Landsberg, 3 Ply Disposable Protective Face Mask,,,50,101029,36.54
